"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1755233322396168237","Wed Feb 07 14:13:29 +0000 2024","0","LPDP tutup tanggal 12 Feb dan ga bisa submit lengkap karena satu persyaratan. Tahun lalu 12 Feb di rumah sendirian karena kesiram air panas dan ga bisa ikut arisan keluarga. Gue suka 1202 tapi... ","1755233322396168237","","","in","","0","0","0","https://x.com/finirayi/status/1755233322396168237","189761756","finirayi"
"1755227523544461730","Wed Feb 07 13:50:26 +0000 2024","1","Alhamdulillah setelah bermilyar-milyar berdebat liburanku gajadi cancel ","1755227523544461730","","","in","","0","1","0","https://x.com/theworldoftemi/status/1755227523544461730","724191827704729600","theworldoftemi"
"1755136200003014968","Wed Feb 07 13:47:36 +0000 2024","0","@nxvxndx @convomfs @alittlefenrir @athalia_qio Apa ga mending uang motornya buat beli voucher grab/gojek?","1755226810147897365","","novindadz","in","","0","0","0","https://x.com/theworldoftemi/status/1755226810147897365","724191827704729600","theworldoftemi"
"1755222664426475812","Wed Feb 07 13:31:08 +0000 2024","0","IM SOOOO POSITIVE IM SOOOOO TALENTED IM SOO COOL MENYALA ABANGKUUUHHH (essay komitmen lpdp gue ilang dan harus buat dari awal)","1755222664426475812","","","in","do not follow","0","0","0","https://x.com/oikawajkt48/status/1755222664426475812","1081152956991328256","oikawajkt48"
"1755218654210494752","Wed Feb 07 13:15:12 +0000 2024","1","List target: 2024: Lulus kuliah ngelamar 2025: Nikah HM ke maldives Naik ke JF gaji : 16 jt + bonus 4 jt = 20 jt Cicil ielts Cicil LOA 2026: 7 LOA ielts &gt; 7.0 2027 - 2028: Lulus LPDP Petualang bareng istri Make networking 2029: Saving 480 jt dr LPDP Gaji : 21 + 5 = 26 jt","1755218654210494752","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/hardtomorow/status/1755218654210494752","765187651","hardtomorow"
"1755216355954176310","Wed Feb 07 13:06:04 +0000 2024","1","Indonesia minim literasi kayaknya bener ya. Di Grup yang isinya orang2 yg sudah daoat LOA PKUMI untuk daftar LPDP aja masih banyak yg mempertanyakan hal yg jelas2 ada di buku panduan .","1755216355954176310","","","in","Pondok Aren","0","1","0","https://x.com/hakiimfikrii/status/1755216355954176310","2449240862","hakiimfikrii"
"1755136200003014968","Wed Feb 07 13:05:16 +0000 2024","0","@convomfs Kalo bgini enakanya sp yg cocok untuk diantemi?? @alittlefenrir @nxvxndx @athalia_qio","1755216155663626423","","convomfs","in","","0","1","0","https://x.com/theworldoftemi/status/1755216155663626423","724191827704729600","theworldoftemi"
"1755052500875706826","Wed Feb 07 07:44:31 +0000 2024","0","@collegemenfess Apapun kejar yg terbaik dlu. Usaha yg terbaik dlu. Tp mantranya adalah: Nilai usaha kamu bukan hasilnya. Jd klo gagal yg penting usaha dah maximal klo berhasil ya syukur bgt.","1755135436287254767","","collegemenfess","in","Internesyenel","0","0","0","https://x.com/LPDPgarislucu/status/1755135436287254767","1622049816535773187","LPDPgarislucu"
"1755119471826698520","Wed Feb 07 07:43:16 +0000 2024","25","@ardisatriawan Emang msalah gini ini masalah struktural sih Byk bgt yg mikir org yg kerjany ga bagus or nilai jelek psti males Pdhl salah satu faktor ya kurang modal Pas beasiswa: Yg kere psti mikir IELTS hrs sekali lolos spy ga ulang klo ga lolos yaudah stop Yg tajir sih ngulang gpp","1755135122960179379","","ardisatriawan","in","Internesyenel","0","0","3","https://x.com/LPDPgarislucu/status/1755135122960179379","1622049816535773187","LPDPgarislucu"
"1755132009020805362","Wed Feb 07 07:30:54 +0000 2024","0","@LPDP_RI mohon izin untuk upgrade akun gimana ya kak? Pembaruan data. Karena ada perubahan.","1755132009020805362","","LPDP_RI","in","Surabaya","0","0","0","https://x.com/Syahrulahmad123/status/1755132009020805362","808864028013379584","Syahrulahmad123"
